Date,State,Region,City,Store Code,NPS Score,Comment
2024-01-15,California,West,Los Angeles,CA-001,9,Excellent service and product selection
2024-01-16,California,West,San Francisco,CA-002,8,Good experience overall
2024-01-17,Texas,South,Houston,TX-001,7,Decent store but could improve
2024-01-18,Texas,South,Dallas,TX-002,10,Outstanding customer service
2024-01-19,New York,Northeast,New York,NY-001,6,Average experience
2024-01-20,New York,Northeast,Buffalo,NY-002,9,Very satisfied with my visit
2024-01-21,Florida,Southeast,Miami,FL-001,8,Great staff and clean store
2024-01-22,Florida,Southeast,Orlando,FL-002,7,Good but wait times were long
2024-01-23,Illinois,Midwest,Chicago,IL-001,9,Impressed with the improvements
2024-01-24,Illinois,Midwest,Springfield,IL-002,5,Not satisfied with product availability 
